Algorithm,Mean,CI_Lower,CI_Upper,Std
SA,1.7333333333333334,1.424271800180068,2.0423948664865987,0.8137703743822469
Tabu,0.1,-0.013936883013668896,0.21393688301366892,0.3
GA,0.13333333333333333,0.004229691154525289,0.2624369755121414,0.33993463423951903
